Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
09-30-22,Riverside,CA,Passenger,7,0,7,460,467,1.50
12-31-22,Prince William,VA,Passenger,1,2,3,188,191,1.57
01-31-20,Dakota,MN,Passenger,0,1,1,32,33,3.03
06-30-22,Ferry,WA,Truck,0,0,0,"3.0,575","3.0,575",0.00
07-31-21,Douglas,CO,Passenger,0,1,1,83,84,1.19
05-31-18,Maui,HI,Passenger,1,0,1,59,60,1.67
11-30-17,Northampton,PA,Passenger,0,1,1,66,67,1.49
03-31-18,Nassau,NY,Passenger,1,0,1,37,38,2.63
03-31-20,DeKalb,IN,Passenger,1,0,1,1,2,50.00
01-31-19,Columbia,WA,Truck,0,0,0,"0.0,529","0.0,529",0.00
February 28 2017,Maui,HI,Passenger,1,0,1,73,74,1.35
09-30-17,Orleans,LA,Passenger,0,1,1,45,46,2.17
12-31-18,Ramsey,MN,Passenger,1,0,1,41,42,2.38
11-30-20,Manassas,VA,Passenger,0,1,1,5,6,16.67
February 29 2020,Montgomery,AL,Passenger,0,1,1,38,39,2.56
08-31-19,Albemarle,VA,Passenger,1,0,1,23,24,4.17
05-31-20,Monroe,IL,Passenger,1,0,1,3,4,25.00
12-31-21,San Diego,CA,Passenger,17,6,23,"2.0,541","2.0,564",0.90
06-30-21,Skamania,WA,Truck,0,0,0,"0.0,026","0.0,026",0.00
01-31-17,Douglas,WA,Truck,0,0,0,"0.0,425","0.0,425",0.00
10-31-22,Washington,OR,Passenger,1,0,1,296,297,0.34
12-31-22,Sarpy,NE,Passenger,1,0,1,57,58,1.72
February 29 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
06-30-22,Clinton,PA,Passenger,1,0,1,1,2,50.00
05-31-22,Yakima,WA,Truck,0,0,0,61.00000008,61.00000008,0.00
10-31-17,Virginia Beach,VA,Passenger,2,1,3,651,654,0.46
05-31-20,Sedgwick,KS,Passenger,1,1,2,96,98,2.04
09-30-21,Kittitas,WA,Truck,0,0,0,"14.0,783","14.0,783",0.00
04-30-21,Asotin,WA,Passenger,19,14,33,"12.0,651","12.0,684",0.26
06-30-21,San Francisco,CA,Passenger,0,1,1,100,101,0.99
06-30-17,Charles,MD,Passenger,0,1,1,89,90,1.11
06-30-22,Richmond,NY,Passenger,1,0,1,4,5,20.00
01-31-22,Carson City,NV,Passenger,1,0,1,9,10,10.00
07-31-20,Santa Clara,CA,Passenger,9,2,11,300,311,3.54
06-30-21,Harris,TX,Passenger,1,1,2,223,225,0.89
11-30-21,King,WA,Truck,6,1,7,"0.0,257","0.0,264",0.00
04-30-21,Suffolk,VA,Passenger,1,0,1,125,126,0.79
February 28 2022,Clallam,WA,Truck,1,0,1,22.0000088,22.0000089,0.00
06-30-19,Clay,FL,Passenger,0,1,1,88,89,1.12
03-31-19,El Paso,TX,Passenger,2,0,2,495,497,0.40
07-31-19,Montgomery,MD,Passenger,1,0,1,283,284,0.35
08-31-23,Harford,MD,Passenger,1,1,2,42,44,4.55
10-31-20,Franklin,WA,Passenger,73,78,151,61.0000083,"0.0,234",0.25
05-31-22,Burlington,NJ,Passenger,0,2,2,112,114,1.75
05-31-22,Kings,NY,Passenger,1,0,1,62,63,1.59
06-30-23,Washtenaw,MI,Passenger,0,2,2,21,23,8.70
04-30-20,Manassas,VA,Passenger,0,1,1,5,6,16.67
12-31-21,Whatcom,WA,Passenger,"1.0,643",673,"2.0,316","149.0,887","0.0,203",1.52
09-30-23,Whitman,WA,Passenger,177,86,263,"21.0,953","0.0,216",1.18
03-31-21,Stevens,WA,Passenger,38,43,81,"0.0,298","30.0,379",0.27
04-30-19,Douglas,WA,Passenger,55,34,89,"27.0,968",28.0000057,0.32
01-31-18,Benton,WA,Passenger,175,179,354,"130.0,615","130.0,969",0.27
05-31-20,Kern,CA,Passenger,0,1,1,228,229,0.44
10-31-21,Kittitas,WA,Truck,0,0,0,"14.0,774","14.0,774",0.00
12-31-21,Grant,WA,Truck,0,0,0,"27.0,988","27.0,988",0.00
06-30-20,Nueces,TX,Passenger,1,0,1,80,81,1.23
09-30-23,Kings,CA,Passenger,2,2,4,264,268,1.49
04-30-17,Jackson,MO,Passenger,1,0,1,70,71,1.41
04-30-23,Polk,OR,Passenger,1,1,2,15,17,11.76
08-31-19,Powhatan,VA,Passenger,1,0,1,1,2,50.00
February 28 2019,Anne Arundel,MD,Passenger,0,1,1,441,442,0.23
03-31-22,Pacific,WA,Passenger,61,68,129,"15.0,987","16.0,116",0.80
February 28 2019,San Mateo,CA,Passenger,2,1,3,131,134,2.24
04-30-21,Ventura,CA,Passenger,1,2,3,276,279,1.08
01-31-21,Klamath,OR,Passenger,1,0,1,33,34,2.94
06-30-18,Hamilton,IN,Passenger,1,0,1,46,47,2.13
03-31-23,Meade,KY,Passenger,1,0,1,18,19,5.26
01-31-24,Placer,CA,Passenger,1,0,1,51,52,1.92
09-30-20,Larimer,CO,Passenger,1,0,1,50,51,1.96
03-31-17,Clallam,WA,Passenger,77,65,142,48.0000077,"0.0,219",0.29
12-31-23,Clallam,WA,Truck,29,0,29,"21.0,315","21.0,344",0.14
12-31-17,Kittitas,WA,Truck,0,0,0,13.00000005,13.00000005,0.00
11-30-19,Fairbanks North Star,AK,Passenger,0,1,1,97,98,1.02
07-31-22,Clark,WA,Truck,9,0,9,"82.0,497",82.00000006,0.01
12-31-18,Bexar,TX,Passenger,3,4,7,717,724,0.97
04-30-18,Manatee,FL,Passenger,1,0,1,38,39,2.56
07-31-23,Washtenaw,MI,Passenger,0,2,2,20,22,9.09
05-31-23,Williamson,TX,Passenger,0,1,1,53,54,1.85
05-31-21,Flathead,MT,Passenger,1,0,1,51,52,1.92
07-31-18,Lumpkin,GA,Passenger,1,0,1,7,8,12.50
08-31-21,Stevens,WA,Passenger,48,44,92,"0.0,264","30.0,356",0.30
06-30-18,Clark,WA,Truck,0,0,0,"79.0,115","79.0,115",0.00
06-30-23,Mason,WA,Truck,11,0,11,"0.0,726","20.0,737",0.05
12-31-19,King,WA,Truck,6,1,7,"182.0,187","182.0,194",0.00
08-31-22,Providence,RI,Passenger,1,0,1,21,22,4.55
07-31-17,Hardin,KY,Passenger,0,1,1,116,117,0.85
11-30-21,Charleston,SC,Passenger,2,1,3,85,88,3.41
11-30-21,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
04-30-21,Hawaii,HI,Passenger,1,0,1,54,55,1.82
06-30-20,Hamilton,IN,Passenger,1,0,1,42,43,2.33
09-30-22,Kootenai,ID,Truck,1,0,1,35,36,2.78
05-31-21,Sumter,FL,Passenger,0,1,1,10,11,9.09
10-31-20,Dallas,IA,Passenger,0,1,1,10,11,9.09
04-30-18,Lake,CA,Passenger,0,1,1,8,9,11.11
05-31-17,DeKalb,IN,Passenger,1,0,1,1,2,50.00
10-31-20,Yakima,WA,Passenger,158,122,280,"166.0,853","167.0,133",0.17
10-31-19,Spokane,WA,Passenger,615,464,1.0000079,"0.0,266","315.0,345",0.34
12-31-22,Los Angeles,CA,Passenger,4,6,10,747,757,1.32
11-30-20,Maricopa,AZ,Passenger,5,9,14,"0.0,424","1.0,438",0.97
11-30-21,Burlington,NJ,Passenger,0,1,1,121,122,0.82
10-31-22,Solano,CA,Passenger,2,0,2,157,159,1.26
10-31-17,Gwinnett,GA,Passenger,0,1,1,88,89,1.12
10-31-21,Montgomery,PA,Passenger,2,0,2,24,26,7.69
February 28 2017,Madison,ID,Passenger,1,0,1,44,45,2.22
07-31-22,Columbia,OR,Passenger,1,0,1,17,18,5.56
08-31-21,Snohomish,WA,Truck,1,0,1,"125.0,976","125.0,977",0.00
09-30-17,Lewis,WA,Passenger,53,40,93,"0.0,024","56.0,117",0.17
06-30-23,Garfield,WA,Passenger,1,3,4,1.00000004,1.00000008,0.31
07-31-19,Walla Walla,WA,Passenger,52,61,113,"0.0,204","36.0,317",0.31
08-31-20,Skamania,WA,Passenger,31,21,52,8.000000000,"0.0,422",0.62
05-31-18,St. Clair,IL,Passenger,0,1,1,156,157,0.64
12-31-19,Bexar,TX,Passenger,0,5,5,669,674,0.74
06-30-20,,,Passenger,6,1,7,387,394,1.78
03-31-22,Sarpy,NE,Passenger,1,0,1,63,64,1.56
09-30-22,Allen,IN,Passenger,1,0,1,18,19,5.26
01-31-23,Bryan,GA,Passenger,0,1,1,33,34,2.94
06-30-18,Adams,WA,Truck,0,0,0,"5.0,163","5.0,163",0.00
01-31-19,Clark,WA,Truck,0,0,0,"79.0,956","79.0,956",0.00
05-31-17,Jefferson,WA,Passenger,103,59,162,"23.0,819","23.0,981",0.68
04-30-23,Kittitas,WA,Truck,8,0,8,14.000000000,"14.0,548",0.05
09-30-17,Alameda,CA,Passenger,0,1,1,356,357,0.28
03-31-22,Skagit,WA,Passenger,730,326,1.0000056,"0.0,428","91.0,484",1.15
06-30-22,Escambia,FL,Passenger,0,1,1,144,145,0.69
09-30-20,Walla Walla,WA,Truck,0,0,0,"13.0,788","13.0,788",0.00
05-31-19,Cook,IL,Passenger,1,0,1,248,249,0.40
12-31-17,Montgomery,PA,Passenger,1,0,1,39,40,2.50
01-31-21,Columbia,OR,Passenger,1,0,1,24,25,4.00
07-31-20,Asotin,WA,Passenger,16,12,28,"12.0,375",12.00000003,0.23
11-30-17,Columbia,WA,Truck,0,0,0,"1.0,538","1.0,538",0.00
09-30-20,Garfield,WA,Truck,0,0,0,985,985,0.00
01-31-17,Pima,AZ,Passenger,0,2,2,477,479,0.42
06-30-20,Williams,ND,Passenger,0,1,1,11,12,8.33
February 28 2023,Lee,AL,Passenger,1,0,1,14,15,6.67
09-30-21,Meade,KY,Passenger,1,0,1,25,26,3.85
04-30-23,Dorchester,SC,Passenger,1,0,1,51,52,1.92
05-31-22,Leavenworth,KS,Passenger,0,1,1,104,105,0.95
10-31-22,Fairfax,VA,Passenger,7,3,10,617,627,1.59
03-31-23,Norfolk,VA,Passenger,3,2,5,280,285,1.75
09-30-17,Portsmouth,VA,Passenger,0,1,1,64,65,1.54
12-31-22,San Juan,WA,Passenger,559,170,729,"0.0,892","0.0,621",4.99
03-31-23,Prince William,VA,Passenger,1,2,3,174,177,1.69
11-30-22,Portsmouth,VA,Passenger,0,1,1,82,83,1.20
01-31-22,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
12-31-22,Anne Arundel,MD,Passenger,3,3,6,311,317,1.89
10-31-19,Douglas,NE,Passenger,0,1,1,61,62,1.61
11-30-18,Brevard,FL,Passenger,0,1,1,97,98,1.02
